_key,appid,name,developer,publisher,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,,,
958400,958400,Project CARS 3,Slightly Mad Studios,BANDAI NAMCO Entertainment,3070,1648,1422,0,"200,000 .. 500,000",2701,0,3919,0,5999,5999,0,85,,,
71230,71230,Crazy Taxi,SEGA,SEGA,2936,2513,423,0,"200,000 .. 500,000",75,0,17,0,799,799,0,11,,,
641780,641780,The Drone Racing League Simulator,The Drone Racing League,The Drone Racing League,2926,2461,465,0,"100,000 .. 200,000",1528,0,125,0,999,999,0,96,,,
434460,434460,Rock of Ages 2: Bigger & Boulder,ACE Team,SEGA,2831,2410,421,0,"200,000 .. 500,000",171,0,153,0,1499,1499,0,18,,,
226580,226580,F1 2014,Codemasters,"Codemasters, Electronic Arts",2830,2388,442,0,"200,000 .. 500,000",473,0,526,0,0,0,0,51,,,
1175140,1175140,Vecter,Taranasus,Taranasus,2785,2692,93,0,"200,000 .. 500,000",0,0,0,0,0,0,0,8,,,
505170,505170,Carmageddon: Max Damage,Stainless Games Ltd,THQ Nordic,2756,2125,631,0,"200,000 .. 500,000",807,0,525,0,1699,1699,0,19,,,
457210,457210,SEUM: Speedrunners from Hell,Pine Studio,Pine Studio,2707,2568,139,0,"100,000 .. 200,000",176,0,167,0,1499,1499,0,13,,,
320140,320140,Absolute Drift,"Funselektor Labs Inc., FlippFly",Funselektor Labs Inc.,2667,2364,303,0,"200,000 .. 500,000",315,0,294,0,1199,1199,0,4,,,
317250,317250,Airscape - The Fall of Gravity,Cross-Product,Senpai Studios,2660,2183,477,0,"500,000 .. 1,000,000",127,0,115,0,239,499,52,5,,,
